Date,Open,High,Low,Close,Volume
1/2/15 16:00,54.28,54.6,53.07,53.91,10756705
1/5/15 16:00,54.37,54.54,53.34,53.88,11565004
1/6/15 16:00,54.3,54.43,52.13,53.04,13772171
1/7/15 16:00,53.39,53.65,52.12,53.01,10069816
1/8/15 16:00,53.48,54.28,53.25,53.66,9672064
1/9/15 16:00,53.67,53.91,51.82,52.02,12351638
1/12/15 16:00,51.05,51.45,49.2,49.58,18261336
1/13/15 16:00,50.12,51.43,49.46,50.4,12259271
1/14/15 16:00,49.41,50.23,48.1,49.41,15684697
1/15/15 16:00,49.14,50.4,48.58,49.41,10399684
1/16/15 16:00,49.4,49.97,48.27,49.81,12978011
1/20/15 16:00,50.99,52.83,49.93,52.75,15157342
1/21/15 16:00,52.65,54,51.95,53.67,12882227
1/22/15 16:00,54.5,55.82,53.91,55.59,16201053
1/23/15 16:00,55.4,55.98,54.8,55.69,9488822
1/26/15 16:00,55.89,56.2,54.73,55.45,13353937
1/27/15 16:00,53.99,54.52,52.54,52.7,19810717
1/28/15 16:00,52.86,53.7,50.3,50.62,17064794
1/29/15 16:00,51.05,52.42,50.57,52.24,16618856
1/30/15 16:00,52,52.13,48.63,49.08,18473105
2/2/15 16:00,48.58,48.93,46.21,48.72,22413054
2/3/15 16:00,47.3,48.16,46.55,47.5,16678900
2/4/15 16:00,48.62,49.79,48.23,49.46,11836762
2/5/15 16:00,49.46,49.46,47.6,48.81,9220865
2/6/15 16:00,48.81,49.47,47.89,48.15,8650092
2/9/15 16:00,46.41,47.24,45.95,46.53,12961897
2/10/15 16:00,47.4,48.38,46.9,48.05,9085330
2/11/15 16:00,48.79,48.95,47.35,47.59,10060185
2/12/15 16:00,46.75,48.5,46.4,47.88,9542801
2/13/15 16:00,47.45,48.4,46.65,48.39,9895724
2/17/15 16:00,49.15,49.45,47.86,48.01,7260535
2/18/15 16:00,48.57,49.45,48.18,49.31,8752743
2/19/15 16:00,50.78,50.8,49.59,49.78,11462822
2/20/15 16:00,49.81,51.12,49.13,51.02,10537876
2/23/15 16:00,51.79,52.2,50.95,51.31,9508679
2/24/15 16:00,50.29,51.56,49.36,51.52,13916738
2/25/15 16:00,51.3,51.49,49.46,49.73,9577025
2/26/15 16:00,50.27,50.38,49.02,49.35,7577294
2/27/15 16:00,49,49.4,47.85,47.9,9396398
3/2/15 16:00,48.19,48.57,47.85,48.31,11482901
3/3/15 16:00,47.85,49.03,47.75,48.77,9051248
3/4/15 16:00,48.8,48.96,47.98,48.95,6711005
3/5/15 16:00,49.09,49.2,47.78,48.4,7041012
3/6/15 16:00,48.33,48.94,47.9,48,7002303
3/9/15 16:00,48.1,48.58,47.58,47.92,7460205
3/10/15 16:00,47.5,47.58,46.47,46.74,9337145
3/11/15 16:00,46.9,47.89,46.58,47.39,6630302
3/12/15 16:00,47.57,48.72,47.56,48.68,7133511
3/13/15 16:00,48.78,49.49,48.28,49.22,9187991
3/16/15 16:00,49.77,50.45,49.45,50.22,10897774
3/17/15 16:00,52.63,54.18,52.5,53.69,41837891
3/18/15 16:00,53.69,54.6,53.34,54.13,21324978
3/19/15 16:00,54.57,55.24,54.45,55.19,18897709
3/20/15 16:00,55.19,56.05,54.86,55.76,137767165
3/23/15 16:00,55.47,55.93,54.37,54.4,19042013
3/24/15 16:00,54.04,54.41,53.66,53.93,11940800
3/25/15 16:00,53.64,53.78,51.93,52.01,14237851
3/26/15 16:00,50.85,51.69,50.25,51.27,14242731
3/27/15 16:00,51.39,52.85,51.38,52.66,9003971
3/30/15 16:00,53.24,53.84,53.05,53.64,8167282
3/31/15 16:00,53.67,53.73,52.68,52.78,8386414
4/1/15 16:00,51.1,51.38,50.11,50.44,15191509
4/2/15 16:00,50.52,50.85,49.15,49.18,14109775
4/6/15 16:00,48.35,48.69,47.67,48.08,13323351
4/7/15 16:00,48.3,48.8,47.49,47.5,9393200
4/8/15 16:00,47.8,49.09,47.73,48.74,11180048
4/9/15 16:00,48.86,49.48,47.72,47.84,11576174
4/10/15 16:00,48.16,48.79,47.72,47.73,11713378
4/13/15 16:00,47.49,48.59,47.47,47.79,9350279
4/14/15 16:00,47.49,47.78,46.88,47.42,9878409
4/15/15 16:00,48,48.72,47.67,47.75,9846675
4/16/15 16:00,47.81,48.91,47.75,48.24,7155874
4/17/15 16:00,48.05,48.65,47.95,48.19,8659765
4/20/15 16:00,48.64,49.78,47.91,49.76,9523520
4/21/15 16:00,50,51.42,49.46,51.36,10850327
4/22/15 16:00,51.44,51.54,50.4,51.4,7333255
4/23/15 16:00,51.08,51.72,50.7,51.45,9821775
4/24/15 16:00,51.95,53.47,51.49,52.71,20248074
4/27/15 16:00,52.66,52.68,51.7,51.87,9843392
4/28/15 16:00,51.7,51.82,50.01,51.19,9235688
4/29/15 16:00,50.55,50.8,47.66,48.88,18050280
4/30/15 16:00,48.51,49.46,48.01,48.29,9400367
5/1/15 16:00,48.65,49.83,48.51,49.39,8084568
5/4/15 16:00,49.45,50.08,48.8,48.95,5589831
5/5/15 16:00,48.2,48.71,46.9,47.01,11384951
5/6/15 16:00,46.78,47.64,46.15,47.05,10116405
5/7/15 16:00,47.44,49.62,47.4,49.06,11427992
5/8/15 16:00,49.21,49.83,48.93,49.04,6478195
5/11/15 16:00,48.94,50.3,48.8,49.65,8036689
5/12/15 16:00,49.16,49.4,48.63,48.85,6820544
5/13/15 16:00,49.27,49.85,48.4,48.49,8553119
5/14/15 16:00,48.94,49.09,48.5,48.82,7980104
5/15/15 16:00,49.38,49.45,48.56,48.67,6650381
5/18/15 16:00,48.57,49.17,48.38,49,6152250
5/19/15 16:00,49.48,49.68,47.7,47.85,14984942
