Date,Open,High,Low,Close,Volume
1/2/20 16:00,28.98,29.3,28.65,29.09,6275633
1/3/20 16:00,28.27,28.29,27.34,27.65,14020066
1/6/20 16:00,27.19,27.49,27.08,27.32,6108646
1/7/20 16:00,27.56,27.68,27.06,27.22,6197079
1/8/20 16:00,27.1,28.09,27.07,27.84,10497296
1/9/20 16:00,28.09,28.23,27.71,27.95,6901065
1/10/20 16:00,27.96,27.99,27.25,27.32,8108419
1/13/20 16:00,27.32,27.53,27.16,27.39,5880251
1/14/20 16:00,27.91,28.4,27.35,27.53,8890948
1/15/20 16:00,27.45,28.06,27.32,27.58,5689926
1/16/20 16:00,27.79,28.26,27.76,28.23,6442847
1/17/20 16:00,28.3,28.72,28.06,28.4,7379424
1/21/20 16:00,27.97,27.99,27.05,27.2,16409419
1/22/20 16:00,27.51,27.91,27.3,27.32,9852593
1/23/20 16:00,27.39,28.99,26.04,28.8,25611121
1/24/20 16:00,28.85,28.86,27.01,27.64,18067793
1/27/20 16:00,26.57,26.6,25.37,26.11,21573812
1/28/20 16:00,26.36,27.12,26.26,26.9,11939167
1/29/20 16:00,26.88,27.49,26.74,26.8,9094411
1/30/20 16:00,26.3,27.79,26.26,27.72,10685468
1/31/20 16:00,27.5,27.52,26.59,26.84,11027935
2/3/20 16:00,26.93,27.67,26.74,27.16,7631879
2/4/20 16:00,27.68,28.61,27.55,28.43,10832933
2/5/20 16:00,28.96,29.24,28.55,29.1,8959684
2/6/20 16:00,29.26,29.45,28.14,28.3,8335783
2/7/20 16:00,28.06,28.55,27.78,28.38,6231754
2/10/20 16:00,28.19,28.81,27.98,28.79,15134344
2/11/20 16:00,29.06,29.94,28.97,29.84,8977738
2/12/20 16:00,30,30.78,29.99,30.47,9315375
2/13/20 16:00,30.03,30.4,29.73,30.09,9119433
2/14/20 16:00,30.01,30.27,29.14,29.2,5524788
2/18/20 16:00,29.04,29.35,28.49,28.63,10486462
2/19/20 16:00,28.84,28.88,28.31,28.33,8401025
2/20/20 16:00,28.24,28.9,28.2,28.51,10093423
2/21/20 16:00,28.12,28.3,27.17,27.82,11256491
2/24/20 16:00,25.98,26.11,25,25.45,21713199
2/25/20 16:00,25.62,25.75,23.05,23.12,22296879
2/26/20 16:00,23.57,23.75,22.11,22.31,19631372
2/27/20 16:00,20.85,22.48,19.77,20.6,31897334
2/28/20 16:00,19.8,20.35,18.77,19.05,37166398
3/2/20 16:00,19.05,19.06,17.51,18.86,38737996
3/3/20 16:00,19.66,19.79,17.8,17.85,35402453
3/4/20 16:00,18.36,18.55,17.3,18.53,44362085
3/5/20 16:00,17.54,17.65,15.98,16.04,44656806
3/6/20 16:00,15.02,17.12,14.8,15.97,54504970
3/9/20 16:00,14.87,15.79,14.46,14.75,42558021
3/10/20 16:00,15.82,17.67,14.61,17,56972742
3/11/20 16:00,16.31,16.49,15.52,16.26,43778178
3/12/20 16:00,14.05,15.75,13.33,13.45,53968488
3/13/20 16:00,15.3,15.6,13.12,14.31,58376115
3/16/20 16:00,12.41,16.2,12,15.92,84916838
3/17/20 16:00,15.79,18.49,14.79,15.58,58055816
3/18/20 16:00,14.24,14.28,10.17,11.65,78458779
3/19/20 16:00,11.6,12.16,10.01,10.29,71584495
3/20/20 16:00,10.65,12,10.3,10.38,62681779
3/23/20 16:00,10.9,11.36,10.01,10.25,56427277
3/24/20 16:00,11.96,14.81,11.54,13.92,101553138
3/25/20 16:00,16.69,16.99,14.31,15.39,93795094
3/26/20 16:00,16.06,17.24,15.16,15.66,77627480
3/27/20 16:00,14.98,15.22,13.91,14.04,50783456
3/30/20 16:00,13.2,13.22,11.81,12.25,50516755
3/31/20 16:00,12.9,12.96,12.1,12.19,44851435
4/1/20 16:00,11.45,11.48,10.5,10.69,56854449
4/2/20 16:00,10.61,11.03,10,10.06,65534605
4/3/20 16:00,10.34,10.49,9.09,9.39,87018883
4/6/20 16:00,9.72,9.94,9.11,9.5,94272306
4/7/20 16:00,11.07,12.2,10.05,10.22,138060974
4/8/20 16:00,10.91,11.4,10.5,11.33,82718687
4/9/20 16:00,12.64,13.4,11.82,12.51,117592821
4/13/20 16:00,12.9,12.95,11.25,11.56,73385533
4/14/20 16:00,12.22,12.6,11.75,11.95,68039491
4/15/20 16:00,12.52,12.69,11.39,12.29,124719945
4/16/20 16:00,11.91,12.03,11.05,11.07,83626979
4/17/20 16:00,11.87,11.95,11.5,11.57,61279474
4/20/20 16:00,11.15,11.35,10.72,11.06,58984927
4/21/20 16:00,10.8,11.22,10.7,11,49882258
4/22/20 16:00,11.09,11.13,10.02,10.27,76320112
4/23/20 16:00,10.36,10.67,10.24,10.25,54598512
4/24/20 16:00,10.4,10.5,9.9,10.31,67234912
4/27/20 16:00,10.53,10.53,10,10.02,67378762
4/28/20 16:00,10.29,11.63,10.21,11.26,114642980
4/29/20 16:00,12.1,12.89,12.02,12.63,113669404
4/30/20 16:00,11.92,12.59,11.26,12.01,94921443
5/1/20 16:00,11.41,11.66,10.58,10.64,99441398
5/4/20 16:00,9.41,10.17,9.15,9.82,125580017
5/5/20 16:00,10.26,10.38,9.5,9.51,86943949
5/6/20 16:00,9.58,9.73,9.09,9.25,68990968
5/7/20 16:00,9.3,9.8,9.29,9.54,61816999
5/8/20 16:00,9.78,10.15,9.68,10.14,59649750
5/11/20 16:00,9.92,10.25,9.59,10.1,48705945
5/12/20 16:00,10.01,10.2,9.6,9.65,46833143
5/13/20 16:00,9.52,9.53,8.83,9.11,68704637
5/14/20 16:00,8.77,9.19,8.25,9.15,72320522
5/15/20 16:00,8.85,9.36,8.76,9.04,39560529
5/18/20 16:00,9.62,9.94,9.36,9.87,76624405
5/19/20 16:00,10.14,10.19,9.59,9.64,62242475
5/20/20 16:00,9.91,10.14,9.77,9.87,44006731
5/21/20 16:00,9.87,10.15,9.83,9.89,45785718
5/22/20 16:00,10.02,10.12,9.63,9.7,37596763
5/26/20 16:00,10.27,11.28,10.25,11.14,101717009
5/27/20 16:00,12.43,12.55,11.07,11.98,99314752
5/28/20 16:00,11.78,11.83,10.9,10.98,70811411
5/29/20 16:00,10.48,10.87,10.32,10.5,59054713
6/1/20 16:00,10.79,11.33,10.62,11.11,50681600
6/2/20 16:00,11.4,11.64,10.97,11.22,49148574
6/3/20 16:00,11.56,12.2,11.44,11.85,86685282
6/4/20 16:00,12.85,18.18,12.63,16.72,399432625
6/5/20 16:00,21.25,22.8,17.8,18.59,428617124
6/8/20 16:00,19.86,20.36,19.13,20.31,175418927
6/9/20 16:00,18.45,18.97,17.61,18.55,111234412
6/10/20 16:00,17.69,18.16,15.92,17.02,163952527
6/11/20 16:00,14.61,15.68,14.07,14.38,124220842
6/12/20 16:00,16.82,17.31,15.67,16.74,161101802
6/15/20 16:00,15.27,17.17,15.08,16.7,122904105
6/16/20 16:00,18.36,18.44,16.55,17.03,127369736
6/17/20 16:00,16.76,17.05,16.16,16.98,71706660
6/18/20 16:00,16.37,17.07,16.28,16.49,64265328
6/19/20 16:00,16.89,16.94,15.42,16,92320184
6/22/20 16:00,14.9,15.52,14.72,14.92,118994544
6/23/20 16:00,13.76,14.29,13.71,14,204022271
6/24/20 16:00,13.59,13.9,12.83,13.04,140975485
6/25/20 16:00,12.53,13.24,12.18,13.17,117383374
6/26/20 16:00,13.2,13.29,12.13,12.38,108813029
6/29/20 16:00,12.57,13.51,12.02,13.32,115051081
6/30/20 16:00,13.1,13.48,12.88,13.07,69607727
7/1/20 16:00,13.48,14.29,12.63,12.81,116661657
7/2/20 16:00,13.35,13.42,12.42,12.5,86439533
7/6/20 16:00,12.8,12.92,12.21,12.8,79312919
7/7/20 16:00,12.51,12.54,11.91,11.91,77998110
7/8/20 16:00,11.6,12.08,11.43,11.99,85034479
7/9/20 16:00,11.94,11.94,11.15,11.18,77131191
7/10/20 16:00,11,11.95,10.98,11.94,90450831
7/13/20 16:00,12.13,12.27,11.45,11.63,67580253
7/14/20 16:00,11.32,11.84,11.22,11.57,49888213
7/15/20 16:00,12.45,13.48,12.21,13.44,135444384
7/16/20 16:00,12.8,13.07,12.29,12.45,81513985
7/17/20 16:00,12.48,12.6,11.89,11.91,67934123
7/20/20 16:00,11.93,12.51,11.35,11.47,64109613
7/21/20 16:00,11.57,11.79,11.28,11.47,64721988
7/22/20 16:00,11.38,11.67,11.3,11.36,42461298
7/23/20 16:00,11.27,12.41,11.01,11.77,115574786
7/24/20 16:00,11.67,11.82,11.34,11.39,53761416
7/27/20 16:00,11.48,11.79,11.18,11.39,69451719
7/28/20 16:00,11.37,12,11.36,11.77,62356563
7/29/20 16:00,11.8,11.92,11.3,11.4,52214555
7/30/20 16:00,11.22,11.39,11.12,11.18,40525120
7/31/20 16:00,11.16,11.25,10.8,11.12,51835522
8/3/20 16:00,11.07,11.24,10.71,11.08,48263993
8/4/20 16:00,11.21,11.88,11.16,11.47,54824447
8/5/20 16:00,11.84,12.85,11.55,12.56,118704411
8/6/20 16:00,13.04,13.29,12.47,13.04,131280118
8/7/20 16:00,12.86,13.16,12.58,13.03,61700718
8/10/20 16:00,13.29,14.31,13.21,14,121073864
8/11/20 16:00,15.02,15.1,13.55,13.73,127879263
8/12/20 16:00,14.03,14.06,13.1,13.54,77639159
8/13/20 16:00,13.19,13.9,13.11,13.3,47772765
8/14/20 16:00,13.11,13.56,13.01,13.33,45670200
8/17/20 16:00,13.32,13.38,12.61,12.62,56206584
8/18/20 16:00,12.6,12.88,12.51,12.6,33322273
8/19/20 16:00,12.65,13.44,12.58,12.68,59266528
8/20/20 16:00,12.38,12.67,12.26,12.5,41956633
8/21/20 16:00,12.44,12.63,12.09,12.16,35822854
8/24/20 16:00,12.44,13.48,12.27,13.44,102685730
8/25/20 16:00,13.69,14.02,12.77,13.14,79053355
8/26/20 16:00,13.11,13.15,12.7,12.79,44056800
8/27/20 16:00,13.43,14.26,13.12,13.28,108835702
8/28/20 16:00,13.59,13.63,13.23,13.59,54516383
8/31/20 16:00,13.6,13.74,13.05,13.05,45917160
9/1/20 16:00,12.86,13.84,12.66,13.1,72987504
9/2/20 16:00,12.94,13.34,12.67,13.23,58889577
9/3/20 16:00,13.4,14.07,13.03,13.36,86390768
9/4/20 16:00,13.65,13.82,12.96,13.61,64936962
9/8/20 16:00,13.36,14.16,13.15,13.63,72746017
9/9/20 16:00,13.48,13.58,12.8,13.05,79030174
9/10/20 16:00,13.21,13.49,12.97,13.01,52318554
9/11/20 16:00,13.08,13.08,12.68,12.95,43916721
9/14/20 16:00,13.02,13.29,12.9,13.26,39859100
9/15/20 16:00,13.27,13.66,13.08,13.14,38958829
9/16/20 16:00,13.21,13.96,12.98,13.8,75458868
9/17/20 16:00,13.5,14.08,13.36,13.63,50194418
9/18/20 16:00,13.51,13.59,13.03,13.19,56403555
9/21/20 16:00,12.82,12.98,12.08,12.21,60604453
9/22/20 16:00,12.3,12.5,12.18,12.34,33013426
9/23/20 16:00,12.53,12.74,11.91,11.93,45292584
9/24/20 16:00,11.74,12,11.22,11.77,49163168
9/25/20 16:00,11.76,12.31,11.71,12.29,43763989
9/28/20 16:00,12.74,13.15,12.49,12.76,63558206
9/29/20 16:00,12.59,12.66,12.11,12.25,47209575
9/30/20 16:00,12.32,12.92,12.22,12.29,65428134
10/1/20 16:00,12.45,12.77,12.35,12.58,48841980
10/2/20 16:00,12.05,13.35,12,13,111883279
10/5/20 16:00,13.09,13.2,12.75,13.12,53465541
10/6/20 16:00,13.28,13.44,12.46,12.53,85252374
10/7/20 16:00,12.98,13.18,12.81,13.07,61274196
10/8/20 16:00,13.33,13.68,12.73,13.16,88851674
10/9/20 16:00,13.25,13.49,12.95,13.2,65280957
10/12/20 16:00,13.14,13.17,12.9,12.92,39852463
10/13/20 16:00,12.59,12.64,12.2,12.22,63372168
10/14/20 16:00,12.35,12.57,12.29,12.36,37647677
10/15/20 16:00,12.22,12.3,11.97,12.23,33776119
10/16/20 16:00,12.31,12.56,12.2,12.46,32717329
10/19/20 16:00,12.64,12.87,12.45,12.56,50560700
10/20/20 16:00,12.75,13,12.59,12.8,46748762
10/21/20 16:00,12.69,12.87,12.55,12.75,37503569
10/22/20 16:00,12.6,13.29,12.42,13.15,90788939
10/23/20 16:00,13.07,13.08,12.42,12.6,90787924
10/26/20 16:00,12.39,12.45,11.67,11.8,85349599
10/27/20 16:00,11.77,11.79,11.2,11.23,65803386
10/28/20 16:00,10.89,11.16,10.63,10.95,64399820
10/29/20 16:00,10.96,11.29,10.89,11.16,44070630
10/30/20 16:00,11.06,11.42,10.98,11.28,51348328
11/2/20 16:00,11.32,11.34,10.87,11.19,41094537
11/3/20 16:00,11.34,11.45,11.15,11.25,43775216
11/4/20 16:00,11.21,11.31,10.93,11.01,45281334
11/5/20 16:00,11.12,11.67,11.09,11.6,54890789
11/6/20 16:00,11.44,11.51,11.28,11.46,36703682
11/9/20 16:00,14.33,14.41,12.75,13.2,231326211
11/10/20 16:00,12.85,13.02,12.34,12.38,127529338
11/11/20 16:00,12.4,12.46,11.93,12.04,81359582
11/12/20 16:00,11.97,12.23,11.65,11.74,75726783
