Date,Open,High,Low,Close,Volume
1/2/20 16:00,91.28,91.78,90.03,90.34,3809879
1/3/20 16:00,90.23,91.07,90.15,90.4,2825431
1/6/20 16:00,90.4,91.04,90.3,90.84,2410279
1/7/20 16:00,90.89,90.89,89.84,90.27,3983865
1/8/20 16:00,90.46,90.87,89.96,90.4,2583273
1/9/20 16:00,90.28,90.78,90.08,90.62,2377171
1/10/20 16:00,90.88,91.23,90.37,90.44,3224998
1/13/20 16:00,90.5,91.55,90.5,91.24,2979024
1/14/20 16:00,91.16,91.44,90.5,91.3,3009768
1/15/20 16:00,91.54,92.58,91.36,92.49,2357284
1/16/20 16:00,92.77,93.42,92.67,93.18,3244169
1/17/20 16:00,93.14,93.92,92.98,93.72,3053495
1/21/20 16:00,94,94.86,93.54,94.79,3429161
1/22/20 16:00,95,95.6,94.87,95.31,3638746
1/23/20 16:00,95.28,96.16,95.22,96.08,3824880
1/24/20 16:00,95.93,96.61,95.81,96.28,2218964
1/27/20 16:00,96.13,96.66,95.72,96.1,2481109
1/28/20 16:00,96.3,97.09,96.03,96.21,3696496
1/29/20 16:00,96.35,97.09,96.16,96.75,2335700
1/30/20 16:00,96.52,97.55,96.41,97.47,3273072
1/31/20 16:00,97.37,98.05,96.97,97.63,3175413
2/3/20 16:00,97.63,97.88,97.31,97.67,2666218
2/4/20 16:00,97.55,98.02,96.55,96.6,2802629
2/5/20 16:00,96.42,97.36,96.3,97.14,2319341
2/6/20 16:00,97.01,97.39,96.81,96.93,1611050
2/7/20 16:00,97.25,97.29,96.19,96.27,2747887
2/10/20 16:00,96.36,96.41,95.71,96.23,2647857
2/11/20 16:00,96.37,97.24,96.29,96.99,2993130
2/12/20 16:00,96.98,98.24,96.93,97.92,4377693
2/13/20 16:00,97.81,100.39,97.56,100.11,5132660
2/14/20 16:00,100.16,101.77,100.09,101.28,6300443
2/18/20 16:00,101.65,102.44,101.53,102.02,6257305
2/19/20 16:00,102.22,102.38,101.37,101.42,2809143
2/20/20 16:00,101.17,101.84,101.01,101.43,2711040
2/21/20 16:00,101.33,102.99,101.3,102.43,3520070
2/24/20 16:00,102.08,103.79,101.72,102.3,5282981
2/25/20 16:00,102.51,102.68,99.02,99.27,4093033
2/26/20 16:00,99.29,100.49,98.82,98.94,3152236
2/27/20 16:00,98.09,99.3,94.96,94.99,4783987
2/28/20 16:00,93.3,93.3,89.39,91.7,7910895
3/2/20 16:00,91.65,96.94,91.54,96.67,6803553
3/3/20 16:00,96.56,98.71,94.81,95.61,5060544
3/4/20 16:00,96.69,101.69,96.59,101.65,4284615
3/5/20 16:00,100.37,101.49,99,100.13,4327616
3/6/20 16:00,97.45,99.5,95.58,99.05,5522577
3/9/20 16:00,94.5,96.7,92.85,94.58,5616178
3/10/20 16:00,95.64,96.62,91.41,95.05,6386812
3/11/20 16:00,92.89,93.17,89.79,90.94,6268792
3/12/20 16:00,85.51,86.36,76,80.48,7684428
3/13/20 16:00,85.01,85.86,80,85.77,6156358
3/16/20 16:00,79.3,84.65,76,76.58,7118877
3/17/20 16:00,78.58,86.55,78.15,86,6712831
3/18/20 16:00,81.01,82.98,77.17,79.28,6426485
3/19/20 16:00,79.12,79.17,74,75.05,6361730
3/20/20 16:00,75.85,76,68.1,68.4,8975727
3/23/20 16:00,66.39,67.93,62.13,64.15,7060079
3/24/20 16:00,67.01,71.91,66.13,71.5,6516877
3/25/20 16:00,71.19,78.55,70.19,74.71,6573717
3/26/20 16:00,75.18,81.93,75.01,81.19,6163938
3/27/20 16:00,78.03,83.69,77.95,80.19,5091493
3/30/20 16:00,81.35,83.94,80.57,83.46,5301003
3/31/20 16:00,82.37,83.96,80.51,80.88,5119878
4/1/20 16:00,77.92,79.75,76.36,77.57,4600766
4/2/20 16:00,76.43,79.96,76.24,79.39,3665871
4/3/20 16:00,78.33,79.34,75.58,76.02,2907159
4/6/20 16:00,78.62,81.98,78.41,81.25,3960149
4/7/20 16:00,83.5,83.69,80,80.11,3522941
4/8/20 16:00,80.5,86.58,80.03,85.5,6729729
4/9/20 16:00,86.5,93,86.32,90.31,6538917
4/13/20 16:00,89.59,90.03,86.43,87.36,3800460
4/14/20 16:00,89.34,90.88,88.21,90.42,3812903
4/15/20 16:00,88.5,89.45,87.1,87.54,3694381
4/16/20 16:00,88,88.59,87.03,87.59,2335115
4/17/20 16:00,89.32,90.59,87.57,90.1,4299100
4/20/20 16:00,89.06,89.48,86.58,86.65,3144083
4/21/20 16:00,85.24,86.45,84.38,85.44,3682899
4/22/20 16:00,86.75,88.4,86.48,87.15,3089909
4/23/20 16:00,87.48,88.18,84.9,85.12,3298061
4/24/20 16:00,85.47,86.17,83.7,85.69,3723902
4/27/20 16:00,86.28,87.68,86.17,86.75,2593088
4/28/20 16:00,88.12,89.14,87.33,87.63,3135495
4/29/20 16:00,88.54,88.75,86.45,86.63,2997602
