Date,Open,High,Low,Close,Volume
1/2/20 16:00,16.06,16.2,15.72,16.07,2380483
1/3/20 16:00,15.85,16,15.76,15.88,1957017
1/6/20 16:00,15.7,16.09,15.6,15.98,1610876
1/7/20 16:00,15.98,16.21,15.83,15.84,1635327
1/8/20 16:00,15.86,16.3,15.78,16.26,2488650
1/9/20 16:00,16.33,16.55,16.14,16.44,1865933
1/10/20 16:00,16.42,16.47,15.82,15.86,2460030
1/13/20 16:00,15.94,16.34,15.92,16.25,2000245
1/14/20 16:00,16.14,16.86,16.09,16.8,2939560
1/15/20 16:00,16.75,16.88,16.41,16.54,2562858
1/16/20 16:00,16.65,16.88,16.58,16.7,1913468
1/17/20 16:00,16.76,16.77,15.96,16.11,3388110
1/21/20 16:00,16.05,16.43,16.02,16.31,2875710
1/22/20 16:00,16.43,16.66,16.27,16.31,1977083
1/23/20 16:00,16.24,16.5,15.78,16.41,2728450
1/24/20 16:00,16.46,16.46,16.03,16.25,1788064
1/27/20 16:00,15.8,15.96,15.42,15.52,3662350
1/28/20 16:00,15.65,16.24,15.65,16.06,2139311
1/29/20 16:00,16.15,16.42,15.87,16.01,1985674
1/30/20 16:00,15.86,16.02,15.56,15.91,2323955
1/31/20 16:00,15.75,15.93,15.62,15.76,1770842
2/3/20 16:00,15.76,15.99,15.62,15.87,2112191
2/4/20 16:00,16.18,16.74,16,16.62,2089518
2/5/20 16:00,16.75,17.28,16.59,17.24,1919860
2/6/20 16:00,17.34,17.46,16.93,16.94,1439559
2/7/20 16:00,16.82,16.97,16.53,16.82,924256
2/10/20 16:00,16.65,17.5,16.64,17.5,1511974
2/11/20 16:00,17.5,18.16,17.44,18.09,2756945
2/12/20 16:00,18.33,18.94,18.31,18.74,3249624
2/13/20 16:00,18.65,19.77,18.44,19.58,3576204
2/14/20 16:00,19.54,19.79,19.46,19.71,2853644
2/18/20 16:00,19.67,20.07,19.23,19.56,2314246
2/19/20 16:00,19.66,19.83,19.24,19.41,2903023
2/20/20 16:00,19.74,20.85,19.45,20.29,5016807
2/21/20 16:00,20.15,20.47,19.84,20.25,3357166
2/24/20 16:00,19.61,19.68,19.24,19.36,3840647
2/25/20 16:00,18.42,18.77,16.18,16.5,8746422
2/26/20 16:00,16.51,16.66,14.26,14.35,8603118
2/27/20 16:00,13.78,13.82,12.16,13.15,11168189
2/28/20 16:00,12.53,13.05,12.1,12.79,6217124
3/2/20 16:00,12.85,12.98,12.02,12.53,6247950
3/3/20 16:00,12.63,12.78,11.64,11.79,6234749
3/4/20 16:00,11.94,12.11,10.87,11.45,7332193
3/5/20 16:00,10.8,10.93,9.68,9.77,8260213
3/6/20 16:00,9.18,9.62,8.19,8.86,9637293
3/9/20 16:00,7.81,8.2,7.25,7.42,6535360
3/10/20 16:00,7.86,8.46,7.36,8.37,6763246
3/11/20 16:00,7.88,8.3,7.67,8.21,12305220
3/12/20 16:00,7.18,7.68,6.91,7.01,12285152
3/13/20 16:00,7.96,8.25,6.28,8.24,9000487
3/16/20 16:00,7.44,7.89,6.1,6.11,9470223
3/17/20 16:00,6.41,6.42,5.55,5.6,8459749
3/18/20 16:00,5.3,5.33,3.18,3.38,16966053
3/19/20 16:00,3.76,4.68,3.45,4.15,16839718
3/20/20 16:00,5.09,5.93,4.75,5.14,20215851
3/23/20 16:00,5.48,7.18,5.05,6.58,14518336
3/24/20 16:00,7.99,8.88,7.34,8.21,18975129
3/25/20 16:00,8.74,9.04,7.1,7.71,13968136
3/26/20 16:00,8.14,8.34,7.14,7.24,12284246
3/27/20 16:00,6.76,6.85,6.11,6.18,11157465
3/30/20 16:00,6.11,6.15,5.55,5.96,7613426
3/31/20 16:00,6.12,6.5,6,6.18,6018360
4/1/20 16:00,5.78,5.89,5.35,5.47,8126933
