Date,Open,High,Low,Close,Volume
1/2/15 16:00,86.7,87.12,84.9,86.77,5904281
1/5/15 16:00,85.9,85.94,80.53,81.74,8922301
1/6/15 16:00,82.02,82.02,79.15,80.35,7785985
1/7/15 16:00,81.5,81.74,79.69,81.36,6437064
1/8/15 16:00,82.26,83.63,82.02,82.5,8305198
1/9/15 16:00,82.82,83.13,81.03,81.29,5213864
1/12/15 16:00,81.12,81.6,79.66,80.18,9224805
1/13/15 16:00,81.36,81.71,78.69,79.24,12940045
1/14/15 16:00,78.06,78.27,73.63,75.78,16812993
1/15/15 16:00,76.19,77.13,73.19,73.9,15317186
1/16/15 16:00,73.63,75.12,72.93,73.8,10562090
1/20/15 16:00,74.25,74.91,71.75,74.63,8958678
1/21/15 16:00,74.67,76.16,74.39,75.78,5661940
1/22/15 16:00,76.57,77.09,75.32,76.47,6203586
1/23/15 16:00,76.02,76.71,74.46,75.05,7107794
1/26/15 16:00,74.87,75.88,73.97,75.78,4506816
1/27/15 16:00,74.39,76.38,74.35,75.78,4121154
1/28/15 16:00,76.54,76.57,73.8,74.01,6342891
1/29/15 16:00,73.9,74.08,71.61,72.69,9471129
1/30/15 16:00,71.65,73.24,70.78,71.16,12177924
2/2/15 16:00,71.2,72.1,69.78,72.03,6229938
2/3/15 16:00,72.76,75.71,72.72,75.29,6062334
2/4/15 16:00,74.87,75.95,73.83,74.91,8432841
2/5/15 16:00,75.36,78.79,75.05,78.2,8087688
2/6/15 16:00,78.69,80.01,77.98,78.41,5248519
2/9/15 16:00,78.06,79.45,77.41,78.69,5985583
2/10/15 16:00,79.07,79.31,78.38,78.93,3850395
2/11/15 16:00,79.21,79.21,77.79,78.79,3922461
2/12/15 16:00,79.1,80.6,78.79,80.6,6790142
2/13/15 16:00,80.63,81.46,79.17,79.76,6935090
2/17/15 16:00,80.28,81.71,79.94,81.46,7456992
2/18/15 16:00,81.81,82.4,81.01,81.12,6508109
2/19/15 16:00,81.19,83.99,80.73,82.02,8154383
2/20/15 16:00,82.02,82.09,80.28,80.46,6773305
2/23/15 16:00,80.46,80.7,79.07,79.97,8829170
2/24/15 16:00,80.01,80.42,78.72,78.93,10473241
2/25/15 16:00,78.52,80.94,77.47,80.39,8976142
2/26/15 16:00,80.08,81.78,79.12,81.46,6770297
2/27/15 16:00,81.43,81.84,79.78,80.01,4052906
3/2/15 16:00,79.76,81.78,79.76,81.5,3940707
3/3/15 16:00,81.6,81.91,80.91,81.5,6561682
3/4/15 16:00,80.67,80.7,78.13,78.2,9376585
3/5/15 16:00,78.52,78.52,76.82,78.03,5738105
3/6/15 16:00,77.51,78.65,76.43,76.82,6060589
3/9/15 16:00,76.82,77.54,76.09,76.61,15871306
3/10/15 16:00,75.88,76.19,74.67,75.32,8869904
3/11/15 16:00,75.46,76.36,74.67,74.67,9646443
3/12/15 16:00,75.39,75.98,74.42,74.63,8117711
3/13/15 16:00,74.18,74.98,73.31,73.87,4598059
3/16/15 16:00,74.25,75.57,73.49,75.19,5987143
3/17/15 16:00,74.49,75.88,74.49,75.88,5728800
3/18/15 16:00,75.26,76.71,74.75,75.81,5929917
3/19/15 16:00,75.67,75.74,74.39,74.91,4782154
3/20/15 16:00,75.5,75.64,75.08,75.19,9885600
3/23/15 16:00,75.15,76.02,74.53,74.67,4945754
3/24/15 16:00,74.7,74.87,72.97,73.11,5736347
3/25/15 16:00,72.79,73,71.23,71.23,7099164
3/26/15 16:00,71.37,72.06,70.85,71.54,5067993
3/27/15 16:00,71.61,72.24,71.54,72.24,5828931
3/30/15 16:00,73.94,75.39,73.42,74.84,5479597
3/31/15 16:00,74.6,75.84,73.87,75.19,4789487
4/1/15 16:00,74.91,75.26,74.04,74.21,3845650
4/2/15 16:00,74.32,75.29,73.52,73.59,4694422
4/6/15 16:00,73.24,75.39,73.17,74.8,11696803
4/7/15 16:00,74.91,75.01,73.21,73.24,4423916
4/8/15 16:00,73.35,73.83,71.02,72.48,11455735
